brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,,,discount,star_rating,ratings,reviews,latest_price,old_price
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,32790,23,3.7,63,12,4711864.50,6180915.00
Lenovo,Ideapad,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,19590,21325,8,3.6,1894,256,3693694.5,4019762.5
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,19990,27990,28,3.7,1153,159,3769114.5,5276115
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,21490,27990,23,3.7,1153,159,4051939.5,5276115
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,33490,25,3.7,1657,234,4711864.5,6312865
Avita,PURA,AMD,APU Dual,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,24990,33490,25,3.7,1657,234,4711864.5,6312865
HP,APU,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,14,0,No,No,20900,22825,8,3.9,1185,141,3940695,4302512.5
Lenovo,APU,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,21896,0,0,3.9,219,18,4128490.8,0
HP,Athlon,AMD,Athlon Dual,10th,32 GB GB,DDR4,32 GB,0 GB,Windows,32-bit,4,Casual,14,0,No,No,26899,27668,2,0,0,0,5071806.45,5215418
acer,Aspire,AMD,Athlon Dual,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,31990,36990,13,4.2,76,13,6031714.5,6972615
ASUS,ExpertBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,34649,41990,17,2.3,3,0,6533068.95,7915115
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,38999,42705,8,3.8,65,5,7353261.45,8049892.5
Lenovo,v15,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,39999,43999,9,3.1,8,1,7541811.45,8293811.5
ASUS,ExpertBook,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,2,Casual,Missing,0,No,No,69990,0,0,0,0,0,13196614.5,0
ASUS,VivoBook,Intel,Celeron Dual,Missing,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,26990,28990,6,0,0,0,5088964.5,5464615
